数据生成时间：2019-09-04 16:37
数据生成条件：
1. 时间范围：20190901至20190903
2. 时间单位：分日
3. 推广设备：移动设备，计算机
4. 投放网络：全部

账户,日期,推广计划,推广单元,关键词,搜索词,账户添加状态,展现,点击,消费,平均点击价格,网页转化,商桥转化
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","9大便出血(原因)","大便出血会自己好吗","大便出血会自己好吗","已添加",1,1,0.77,0.77,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","20大便出血(突然是什么原因)","便血是什么原因引起","便血咋回事","已添加",6,1,1.26,1.26,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","14大便出血(是什么原因)","大便拉肚子出血","肚子一阵一阵的痛拉肚子大便出血","未添加",1,1,0.58,0.58,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","17大便流血(什么原因)","拉大便时出血是什么原因","拉大便的时候出血怎么回事","未添加",1,1,0.78,0.78,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","17大便流血(什么原因)","男生大便出血怎么办","男拉屎出血了怎么回事","未添加",1,1,1.20,1.20,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","大便有血什么问题","小便拉血怎么回事","小便一直拉血怎么回事","未添加",1,1,1.00,1.00,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","排便出血怎么回事","大便带暗红色血是怎么回事","拉暗红色血便怎么回事","未添加",1,1,0.77,0.77,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","5大便带血怎么回事","新生儿大便有血丝是怎么回事","新生儿大便有血丝是怎么回事","已添加",1,1,0.66,0.66,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","6便血什么情况","大便出血是什么征兆","排大便出血是怎么回事","已添加",1,1,1.14,1.14,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","6便血什么情况","大便出血是什么征兆","大便出血什么原因引起","已添加",1,1,0.77,0.77,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","6便血什么情况","解大便有血什么原因","大便带血怎么回事","已添加",2,1,1.21,1.21,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","大便拉血什么病","拉屎很硬拉出血怎么回事","拉硬屎是什么原因","未添加",3,1,1.17,1.17,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","18大便后出血是什么病","大便就出血","喂奶期大便出血怎么办","未添加",1,1,0.52,0.52,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","33便血是怎么了","腔门为什么会出血","皮下出血","未添加",5,1,0.42,0.42,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","30为什么上大便时出血","上完大便后纸上有血怎么回事","大便不带血但纸上带血","已添加",2,1,1.07,1.07,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","31大便带血怎么回事(长词)","大便为什么会有血块","大便有血块是怎么回事","已添加",3,3,1.98,0.66,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","21经常便血怎么回事","大便老出血怎么回事","拉屎拉出血","已添加",8,1,0.82,0.82,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","21经常便血怎么回事","拉大便经常出血","拉屎出好多血","已添加",1,1,0.87,0.87,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","32为什么有时拉屎拉出血","为什么大便一半就出不来还有血","大便拉不净怎么办","未添加",2,1,0.60,0.60,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","32为什么有时拉屎拉出血","为什么大便一半就出不来还有血","10天不大便屎都哪去了","未添加",4,2,1.35,0.68,0,0
"远大肛肠医院13","2019-09-01","X<痔疮>痔疮手术","痔疮可以手术吗","痔疮需要做手术吗","割了痔疮动手术可以吃竹笋吗","未添加",1,1,0.60,0.60,0,0
"远大肛肠医院13","2019-09-01","101-肛肠镜-什么","101-什么+情况做","什么情况要做肛肠镜","6种症状需做肠镜检查","未添加",16,3,0.99,0.33,0,0
"远大肛肠医院13","2019-09-01","101-肛肠镜-检查","101-检查+如何","电子肛肠镜如何检查","电子结肠镜检查什么的","未添加",1,1,0.45,0.45,0,0
"远大肛肠医院13","2019-09-01","101-肛肠镜-检查","101-检查+怎么2","电子肛肠镜怎么检查","检查肛肠科需要空腹吗","未添加",2,1,0.55,0.55,0,0
"远大肛肠医院13","2019-09-01","101-肛肠镜-怎么做","101-怎么做+检查","肛门镜检查怎么做的","电子肛门镜检查流程","未添加",1,1,0.29,0.29,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼有肉瘤","屁眼旁肿块","屁眼旁边肿块","未添加",1,1,0.49,0.49,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门肉球(短语)短","肛门长出一个肉球","肛门里急后重一个月","未添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","2肛门口长包","肛门长个水泡","肛门附近瘙痒起一层小水泡有渗液是什么","未添加",1,1,0.75,0.75,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门长包怎么回事(长)","肛门周围红肿怎么回事","肛门炎症怎么治疗","未添加",1,1,0.61,0.61,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股长疮怎么办","屁股长疮怎么回事","屁股长疮怎么办","已添加",1,1,0.77,0.77,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","【科普类】二","大便的时候突然拉出个肉粒","大便一粒一粒的是怎么回事","未添加",7,1,0.42,0.42,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门长+硬","肛门周围有小硬块","肛门旁边有个像黄肚的小硬块","未添加",1,1,0.67,0.67,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门肿(回事)","肛门辣疼是怎么回事","肛门辣","未添加",1,1,0.76,0.76,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门长东西","大便后肛门有东西","拉完大便脱肛要用手推才能收回去请问要怎","未添加",1,1,0.69,0.69,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门长东西","肛门里面感觉有东西","肛内感觉有东西挂什么科","未添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门突出","肛门周围有凸起","肛门突出来","已添加",1,1,0.51,0.51,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门突出","大便肛门突出","拉屎脱肛","已添加",2,1,0.75,0.75,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","肛门突出","肛门 突出","肛门突出来","已添加",1,1,0.77,0.77,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","2肛门(旁)边长了个包","肛门旁边长了个泡","肛门上长了个泡","已添加",1,1,0.69,0.69,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","【科普类】六","肛门有一块肉凸出来","肛门口有个肉球几年了,肛门口有点肿","未添加",2,1,1.11,1.11,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","【科普类】五","肛门凸出一块肉","肛门处有一小块肉脱出","已添加",1,1,0.76,0.76,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","4肛门口有肉","拉屎太用力肛门有块肉","一拉屎肛门的肉就出来了应该怎么办","未添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","4肛门口有肉","拉屎太用力肛门有块肉","肛门变松是什么原因","未添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股肉里长有硬硬的包","屁股起了一个包","未添加",2,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股里长个小肉球","屁股长肉球不痛不痒","未添加",1,1,0.62,0.62,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","我屁股长了个包","屁股起了个泡是什么东西","未添加",2,1,1.17,1.17,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股长了个包","屁股生生包该怎么办","未添加",2,1,0.76,0.76,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股长了包包怎么回事","屁股后面有疙瘩","未添加",1,1,0.68,0.68,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股后长了个肉揪","屁股有条肉出来了","未添加",1,1,1.01,1.01,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长很多小疙瘩","屁股长疙瘩不痛不痒","未添加",1,1,1.10,1.10,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长很多小疙瘩","屁股坐久了长疙瘩","未添加",1,1,1.03,1.03,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长很多小疙瘩","屁股上长了红色的一块","未添加",2,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长了一个疙瘩一碰就疼","屁股长痘痘是什么原因","已添加",5,1,0.66,0.66,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长了个疙瘩特别疼","屁股疼长了一个红包包","未添加",1,1,0.65,0.65,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股起了好多小疙瘩","屁股上长痘痘","已添加",4,3,2.59,0.86,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股起了好多小疙瘩","屁股上长了小疙瘩不痛不痒","未添加",1,1,0.79,0.79,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股起了好多小疙瘩","屁股后面长痘痘怎么回事","未添加",1,1,0.71,0.71,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股起了好多小疙瘩","屁股上起了很多红疙瘩","未添加",2,2,1.63,0.82,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股起了好多小疙瘩","屁股痒起疙瘩越抓越多","未添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长了块硬硬的东西","屁股旁边长了个硬疙瘩","未添加",1,1,0.67,0.67,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股 肿块","屁股杠边有小肿胀","未添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长大包","屁股上长了个硬硬的包很疼有脓包","未添加",2,1,0.74,0.74,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长大包是什么","屁股长了个包很痛","已添加",3,2,1.22,0.61,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股上长大包是什么","屁股上长了个包坐着疼","未添加",1,1,1.14,1.14,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股","屁股突然长个包是怎么回事","肛门附近长一个包是什么","未添加",1,1,0.59,0.59,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉","屁眼上有个肉球不痛不痒","屁眼上长了个肉球不痛不痒","已添加",1,1,0.55,0.55,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉","屁眼有个小肉疙瘩","屁眼里长个肉疙瘩","已添加",1,1,0.62,0.62,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼肉球(短语)短","屁眼旁边长了一肉球","屁股拉完屎会凸出来","未添加",2,2,1.10,0.55,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股上长豆","屁股长痘是什么情况","屁股一直长痘","未添加",1,1,1.17,1.17,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股上长豆","屁股长痘是什么情况","屁股上长痘痘是什么原因","已添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股上长豆","屁股上长痘咋回事","屁股长了个痘痘","未添加",1,1,1.10,1.10,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股上长豆","屁股上长痘咋回事","为什么屁股上会长痘痘","已添加",1,1,0.66,0.66,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股上长豆","屁股上长痘咋回事","屁股长痘痘是什么原因","已添加",1,1,1.13,1.13,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","3屁股(怎么办)","屁眼有息肉要怎么办","肛门息肉是什么病严重吗","未添加",1,1,1.20,1.20,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","3肛门口长了肉疙瘩","肛门长乳头状小疙瘩","乳头上面长了一个肉疙瘩是怎么回事","未添加",1,1,0.66,0.66,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼旁长(杂)","屁眼起水泡怎么回事","肛门长水泡了怎么办","已添加",1,1,0.78,0.78,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长疙瘩1","屁眼有个肉疙瘩","屁眼突然有个肉疙瘩有点痒","未添加",1,1,1.01,1.01,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长疙瘩1","屁眼口有个肉疙瘩","肛门外有个小肉疙瘩","已添加",3,1,1.18,1.18,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长泡(短语)","屁眼旁边长了一个水泡","肛门长水泡了怎么办","已添加",1,1,0.72,0.72,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长泡(短语)","屁股上长水泡","屁股起了个泡是什么东西","未添加",1,1,1.05,1.05,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉(短语)短","屁股肉疼","屁股疼痛是什么原因引起的","未添加",10,1,1.20,1.20,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股起了个疙瘩","屁股上出了个硬疙瘩","屁股上起大硬包没有脓","未添加",4,1,0.57,0.57,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼肿","屁眼肿了是怎么回事","肛门有一点肿了怎么办","未添加",1,1,1.05,1.05,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉球","屁眼个肉球","屁眼长了个肉球","已添加",2,1,0.72,0.72,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉2","女性屁眼长了个小肉球","肛门一周肿了怎么回事?","未添加",1,1,0.50,0.50,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉2","女性屁眼长了个小肉球","屁股窿有点痛什么原因","未添加",1,1,0.49,0.49,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股长东西怎么回事","屁股上长疙瘩坐久了会痛","学生党久坐屁股长疮","未添加",1,1,0.77,0.77,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股长东西怎么回事","屁股上长疙瘩坐久了会痛","坐多了屁股痛怎么回事","未添加",3,3,1.74,0.58,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股长东西怎么回事","屁股上长痘","屁股上长痘","已添加",3,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁股长东西怎么回事","屁股上长浓包","屁股沟旁长了个硬包","未添加",1,1,0.54,0.54,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","3肛门周围（疙瘩）","肛门长了个肉疙瘩是什么","肛门口有个肉疙瘩是什么","已添加",1,1,1.04,1.04,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉(短语)短1","屁眼长了一个肉疙瘩","肛门长个小疙瘩是怎么回事","已添加",1,1,1.06,1.06,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉(短语)短1","屁眼长了一个肉疙瘩","屁眼上长了个肉疙瘩痛","未添加",1,1,1.15,1.15,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉(短语)短1","屁眼长了一个肉疙瘩","肛门处长了一个肉疙瘩是怎么回事","未添加",7,1,1.06,1.06,0,0
"远大肛肠医院13","2019-09-01","新加-[肛门]肛门长包","屁眼长肉(短语)短1","屁眼掉出一坨肉","肛门里掉出一块肉是什么?","未添加",1,1,0.49,0.49,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(症状治疗)","6.10便血（why）","为什么大便后擦屁股有血","擦屁屁有血","未添加",2,1,0.51,0.51,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血[不痛]","大便无痛出血原因(长词)","大便出血但不痛是什么原因","大便有血不疼怎么回事","已添加",1,1,0.83,0.83,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血[不痛]","拉屎出血不痛","拉屎出血但不疼","拉屎出血但不疼","已添加",1,1,0.41,0.41,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血[不痛]","大便无痛鲜红出血","大便出血血鲜红不痛","大便出血鲜红不痛","已添加",2,1,0.86,0.86,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(痔疮)","痔疮出血","内痔大便流血","痔疮手术后大便出血怎么办","未添加",1,1,1.03,1.03,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(痔疮)","痔疮出血(短语)","痔的便血","痔疮便血","已添加",1,1,1.18,1.18,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(痔疮)","痔疮出血(危害)","痔疮大便出血的危害","痔疮手术后大便还有血","未添加",1,1,0.73,0.73,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(痔疮)","痔疮出血(危害)","痔疮大便出血的危害","痔疮一直出血但不痛","未添加",1,1,0.88,0.88,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(痔疮)","痔疮出血(怎么办)","大便出血内痔怎么办","有痔疮上大便出血是什么原因","未添加",1,1,1.14,1.14,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(痔疮)","痔疮出血(怎么办)","痔疮出血怎么止血","痔疮止血的最佳方法","未添加",1,1,0.30,0.30,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","拉屎的(时候)会出血","拉屎的时候拉出血了","大便有血怎么回事啊","已添加",1,1,0.82,0.82,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","拉屎的(时候)会出血","拉屎的时候拉出血了","偶尔拉大便出血","未添加",1,1,0.70,0.70,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","拉大便出血","拉血","拉血水","已添加",2,1,0.72,0.72,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","拉大便出血","拉大便血","大便拉血","已添加",2,1,1.11,1.11,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血(怎么)","大便拉出很多鲜血","大便出鲜血","已添加",14,4,3.84,0.96,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血(怎么)","大便出血是什么状况","上厕所出血","已添加",1,1,1.11,1.11,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血(怎么)","大便排出血","大便出血","已添加",2,1,1.17,1.17,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","上厕所出血(短语)","上厕所有血","上厕所有血","已添加",2,1,0.48,0.48,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血(短语)","大便出现出血","大便出血应该怎么做?","未添加",2,2,2.00,1.00,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","大便都有血","大便拉血是什么原","未添加",1,1,0.78,0.78,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","大便都有血","拉大便拉血怎么办","已添加",2,2,1.56,0.78,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","大便都有血","早上起来大便有血","已添加",1,1,1.20,1.20,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","大便都有血","大便不痛但有鲜血","已添加",1,1,0.66,0.66,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","大便都有血","肠镜没问题大便有血","未添加",3,1,0.78,0.78,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","大便带少量血","突然大便带血","已添加",1,1,0.70,0.70,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便(带出血)","拉大便带点血","艾熏完拉湿有血","未添加",1,1,0.55,0.55,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","(经常)大便带血","经常大便带血","粪便有血","已添加",1,1,0.80,0.80,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","(屎)有血","屎里面有血","大便有鲜血怎么办","未添加",4,1,0.65,0.65,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","(去)大便有血","大便有血是","拉血","已添加",1,1,0.67,0.67,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血+相关","老年人大便出血","老人大量便血的原因有哪些","未添加",1,1,0.44,0.44,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","鲜血","大便出好多鲜血","大便出鲜血","已添加",72,9,7.42,0.82,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","鲜血","大便出好多鲜血","排便带鲜血","已添加",2,1,0.73,0.73,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","鲜血","大便出鲜血但是不疼","拉屎出鲜血但不疼","已添加",48,2,1.20,0.60,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","鲜血","大便带鲜血","大便出鲜血","已添加",31,1,0.50,0.50,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","(每天)大便都流血","大便出血怎么回是","拉屎拉出血怎么回事","已添加",1,1,0.69,0.69,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","(每天)大便都流血","大便出血怎么回是","男人大便拉出血怎么回事","未添加",1,1,1.13,1.13,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","便血 危害","大便出血怎么造成的","大便出血什么引起的","已添加",3,3,2.14,0.71,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","便血 危害","为什么拉大便出血","为什么大便的时候总会拉出一团小血团","未添加",1,1,0.87,0.87,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","便血 危害","便便后出血","拉屎头干怎么回事后软出血","未添加",1,1,0.73,0.73,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血(怎样)","拉稀大便出血","便后出血鲜红无痛原因","未添加",1,1,0.71,0.71,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便出血(怎样)","大便出血了","大便带出血","已添加",4,1,0.50,0.50,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便有血(最近)","大便出血出血","拉屎出血","已添加",3,1,0.82,0.82,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便有血(最近)","大便出血出血","大便出血","已添加",8,2,2.24,1.12,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","大便有血(最近)","一次大便出血","大便干会出血软就不出血怎么回事","未添加",1,1,0.10,0.10,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","屁股出血","屁股出血但是不疼","屁股突然出血但不疼","未添加",1,1,1.05,1.05,0,0
"远大肛肠医院13","2019-09-01","新加-[便血]便血(短语)","屁股出血","屁股拉屎出血","上厕所屁股拉出血痛是怎么回事","未添加",2,2,1.48,0.74,0,0
