账户名称,日期,推广计划,推广组,关键词,计算机URL,移动URL,展示次数,点击次数,点击率,总费用,平均每次点击费用,产品线
85221501@qq.com,2019/09/01,045<深圳>痔疮医院,12痔疮+医院,肛裂的医院,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011087,2,1,50.00%,0.59,0.59,搜索推广
85221501@qq.com,2019/09/01,016<肛门>(回事),肛门(长肉)怎么回事,肛门长肉怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009962,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,016<肛门>(回事),肛门(长肉)怎么回事,肛门长了肉块怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009948,6,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,016<肛门>(回事),肛门(长疙瘩)怎么回事,肛门长肉疙瘩是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009876,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,026<肛门>(治疗),肛门长个疙瘩 怎么治疗,肛门上长小的肉疙瘩,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009821,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门胀痛(怎么回事),肛门肿痛是什么引起的,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009751,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门痛,肛门痛,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009741,2,1,50.00%,1.22,1.22,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门痛,肛门内疼痛,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009732,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门疼痛(怎么回事),肛门疼痛怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009719,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门疼2,肛门疼,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009702,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门疼(怎么回事),肛门里面疼怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009651,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,019<肛门>(屁眼大便)疼痛,肛门痛(怎么回事),肛门痛是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009535,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[痔疮] 痔疮怎么办,痔疮肛门痛*,痔疮肛门痛,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009385,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[痔疮] 痔疮怎么办,痔疮肛裂怎么办,肛裂痔疮怎么办,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009258,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[痔疮] 痔疮怎么办,痔疮出血怎么办,痔疮掉出来了怎么办,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009098,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,055<痔疮>痔疮(肛裂)出血,04肛裂出血(什么原因),肛裂大便出血是什么原因,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009058,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,055<痔疮>痔疮(肛裂)出血,04肛裂出血(什么原因),肛裂出血怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500009055,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,055<痔疮>痔疮(肛裂)出血,13肛裂出血(怎么办),肛裂大便出血怎么办,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500008957,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,055<痔疮>痔疮(肛裂)出血,03肛裂便血,肛裂经常出血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500008847,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[痔疮] 痔疮手术,谁做过痔疮手术,痔疮会自己好吗,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500006078,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[痔疮] 痔疮手术,痔疮微创手术,痔疮微创手术,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005798,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,012<肠镜>肠镜-水疗 优化,肛肠镜检查,肛肠检查,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005582,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,012<肠镜>肠镜-水疗 优化,肛肠镜多少钱,肛肠镜检查费用,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005552,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,060<痔疮>[外痔],外痔[病种]血栓性,血栓性外痔,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005462,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,060<痔疮>[外痔],外痔[治疗]治疗方法,外痔最佳治疗方法,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005244,5,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,060<痔疮>[外痔],外痔[症状]早期症状,外痔的早期症状,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005199,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,060<痔疮>[外痔],外痔[病种],外痔,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005074,4,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,060<痔疮>[外痔],外痔[治疗]有怎么办,得了外痔怎么办,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005064,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,060<痔疮>[外痔],外痔[症状]什么是,外痔是什么,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500005044,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,1WAP[痔疮] 计划 高消费,内痔+,内痔,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004948,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,1WAP[痔疮] 计划 高消费,痔疮,痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004934,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),屁眼痛(怎么回事),屁眼痛怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004824,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),屁眼痛(怎么回事),屁眼疼怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004820,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),017长疙瘩(屁眼),屁眼上长了个疙瘩,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004803,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),屁股/眼 长包,屁眼上长包,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004651,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),13屁眼上长东西,屁眼长了个东西,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004637,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),13屁眼上长东西,屁眼长个东西,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004630,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),058肉疙瘩(屁眼),屁眼处长了个肉疙瘩,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004605,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),23屁眼上长包包,屁眼上长了个包包,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004558,2,1,50.00%,0.72,0.72,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),4屁眼长个疙瘩,屁眼有个小疙瘩,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004384,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),22屁眼旁边长了个肉,屁眼突出一块肉,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004366,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,018<肛门>(屁眼),6屁眼长肉,屁眼长肉,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500004359,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(怎么办),拉屎拉血怎么办,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500003990,4,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(鲜红),大便伴有鲜血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500003158,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(偶尔),拉屎偶尔出血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500003005,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(暗红),大便暗红色血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500002963,7,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(杂词),大便与血混合,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500001266,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(什么原因/情况),排便带血是什么原因,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500038351,4,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(怎么回事),拉出血了怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500036911,39,2,5.13%,5.60,2.80,搜索推广
85221501@qq.com,2019/09/01,<便血>-新添7.10,便血(怎么回事),大便带血有粘液是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500036683,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,163-肛门-新,肛门+杂词,肛门瘙痒,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500035404,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,163-肛门-新,肛门疼+怎么回事,肛门内部疼痛是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500035401,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,163-肛门-新,肛门疼+怎么回事,肛门瘙痒是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500035399,5,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,163-肛门-新,肛门出血,肛门出血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500035375,6,1,16.67%,0.67,0.67,搜索推广
85221501@qq.com,2019/09/01,064<痔疮>痔疮治疗,痔疮治疗(疑问),怎样消除痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034970,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,064<痔疮>痔疮治疗,1痔疮最佳的治疗方法,痔疮最佳治疗方法,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034756,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,064<痔疮>痔疮治疗,痔疮no,痔疮肛泰,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034700,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,064<痔疮>痔疮治疗,痔疮no,痔疮怎么,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034694,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,052<痔疮>原因,9什么是外痔,什么是血栓性外痔,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034351,6,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,052<痔疮>原因,5内痔原因,内痔的原因,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034266,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,052<痔疮>原因,O痔疮 问题,痴疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034134,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,052<痔疮>原因,O痔疮 问题,痔疮大粒吗,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500034124,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,7WAP[痔疮] 痔疮症状+图片,痔疮有(什么)症状,痔疮的症状是什么样子的,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500033615,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,7WAP[痔疮] 痔疮症状+图片,痔疮(便血)症状,痔疮大便的症状,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500033577,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,7WAP[痔疮] 痔疮症状+图片,痔疮图片,外痔图片,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500033525,1,1,100.00%,0.67,0.67,搜索推广
85221501@qq.com,2019/09/01,7WAP[痔疮] 痔疮症状+图片,痔疮图片,内痔图片,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500033523,4,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,7WAP[痔疮] 痔疮症状+图片,痔疮图片,痣苍的图片,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500033498,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,7WAP[痔疮] 痔疮症状+图片,痔疮图片,内痣图片,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500033489,96,7,7.29%,3.43,0.49,搜索推广
